Code,Name,Market,Close,Change,Volume,Amount,UpdatedAt
085620,미래에셋생명,KOSPI,16770,-0.3,253166,4276579860,2026-04-04 21:27
004170,신세계,KOSPI,305000,-0.65,40611,12427180000,2026-04-04 21:27
357780,솔브레인,KOSDAQ,376500,0.4,41328,15302027250,2026-04-04 21:27
375500,DL이앤씨,KOSPI,75000,10.13,2963265,227426635550,2026-04-04 21:27
036930,주성엔지니어링,KOSDAQ,62200,2.3,881623,56029427650,2026-04-04 21:27
237690,에스티팜,KOSDAQ,138100,-3.56,162891,22546957250,2026-04-04 21:27
004990,롯데지주,KOSPI,27300,0.37,140630,3852402050,2026-04-04 21:27
083650,비에이치아이,KOSDAQ,92500,1.43,203624,18866783650,2026-04-04 21:27
009970,영원무역홀딩스,KOSPI,210500,-2.55,10217,2204870000,2026-04-04 21:27
023530,롯데쇼핑,KOSPI,99500,-2.74,92559,9335227500,2026-04-04 21:27
028670,팬오션,KOSPI,5260,6.8,5542067,28969566640,2026-04-04 21:27
457190,이수스페셜티케미컬,KOSPI,92400,1.43,172366,15831449400,2026-04-04 21:27
084370,유진테크,KOSDAQ,119800,-4.54,112669,13525519900,2026-04-04 21:27
103140,풍산,KOSPI,96800,4.42,334861,32420315550,2026-04-04 21:27
026960,동서,KOSPI,26950,-0.37,45854,1250206175,2026-04-04 21:27
139130,iM금융지주,KOSPI,16650,0.48,307930,5173205435,2026-04-04 21:27
001450,현대해상,KOSPI,29900,-0.33,241412,7277434200,2026-04-04 21:27
00680K,미래에셋증권2우B,KOSPI,19570,2.84,216960,4249780060,2026-04-04 21:27
178320,서진시스템,KOSDAQ,45200,-1.63,1261354,57857197625,2026-04-04 21:27
140410,메지온,KOSDAQ,86400,1.77,144281,12513602100,2026-04-04 21:27
051600,한전KPS,KOSPI,57200,3.25,124061,7077037900,2026-04-04 21:27
008930,한미사이언스,KOSPI,37600,1.35,91623,3431908600,2026-04-04 21:27
071970,HD현대마린엔진,KOSPI,75800,8.29,227503,17192617050,2026-04-04 21:27
476830,알지노믹스,KOSDAQ,184200,-7.44,826030,153594029500,2026-04-04 21:27
005850,에스엘,KOSPI,55200,1.85,117929,6469550100,2026-04-04 21:27
440110,파두,KOSDAQ,50500,2.54,754955,38093633150,2026-04-04 21:27
336260,두산퓨얼셀,KOSPI,38400,8.63,699804,26742346900,2026-04-04 21:27
